City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,concepcion,-36.827,-73.0498,5.89,100.0,100.0,3.6,CL,1690364624.0
312,rio grande,-32.035,-52.0986,15.53,98.0,100.0,5.91,BR,1690364624.0
313,bernalillo,35.05,-106.6673,27.41,35.0,20.0,2.57,US,1690364625.0
314,praia,14.9215,-23.5087,27.3,78.0,75.0,8.23,CV,1690364546.0
315,kruisfontein,-34.0033,24.7314,22.23,26.0,88.0,2.25,ZA,1690364626.0
316,magdagachi,53.45,125.8,26.96,46.0,39.0,0.69,RU,1690364627.0
317,grand falls-windsor,48.9332,-55.6649,16.39,94.0,57.0,2.24,CA,1690364627.0
318,villa gesell,-37.2639,-56.973,10.59,98.0,100.0,6.07,AR,1690364628.0
319,adis zemen,12.1167,37.7833,20.52,73.0,100.0,1.76,ET,1690364628.0
320,lompoc,34.6391,-120.4579,22.1,96.0,100.0,0.0,US,1690364629.0
322,tenkodogo,11.78,-0.3697,30.44,57.0,9.0,4.59,BF,1690364630.0
323,mulayjah,27.271,48.4242,46.96,5.0,23.0,1.5,SA,1690364631.0
324,chul'man,56.8479,124.9104,22.97,70.0,92.0,0.38,RU,1690364631.0
325,la mira,18.035,-102.3266,25.41,76.0,92.0,2.04,MX,1690364632.0
326,pariaman,-0.619,100.12,30.03,74.0,96.0,2.13,ID,1690364632.0
328,tolanaro,-25.0319,46.9987,23.04,43.0,40.0,3.6,MG,1690364633.0
329,wenchang,30.904,118.4887,30.29,79.0,81.0,2.2,CN,1690364634.0
330,bikenibeu village,1.3673,173.1241,27.98,78.0,75.0,1.54,KI,1690364634.0
331,tofol,5.3248,163.0078,28.58,72.0,78.0,3.39,FM,1690364635.0
